[2025-09-03 13:21:13] Starting parallel SMTP processing with MAX_WORKERS=200
[2025-09-03 13:35:24] Started worker 38 for 477 emails
[2025-09-03 13:35:24] Started worker 39 for 477 emails
[2025-09-03 13:35:24] Started worker 40 for 477 emails
[2025-09-03 13:35:24] Started worker 41 for 477 emails
[2025-09-03 13:35:24] Started worker 42 for 477 emails
[2025-09-03 13:35:24] Started worker 43 for 477 emails
[2025-09-03 13:35:24] Started worker 44 for 477 emails
[2025-09-03 13:35:24] Started worker 45 for 477 emails
[2025-09-03 13:35:24] Started worker 46 for 477 emails
[2025-09-03 13:35:24] Started worker 47 for 477 emails
[2025-09-03 13:35:24] Started worker 48 for 477 emails
[2025-09-03 13:35:24] Started worker 49 for 477 emails
[2025-09-03 13:35:24] Started worker 50 for 477 emails
[2025-09-03 13:35:24] Started worker 51 for 477 emails
[2025-09-03 13:35:24] Started worker 52 for 477 emails
[2025-09-03 13:35:24] Started worker 53 for 477 emails
[2025-09-03 13:35:24] Started worker 54 for 477 emails
[2025-09-03 13:35:24] Started worker 55 for 477 emails
[2025-09-03 13:35:24] Started worker 56 for 477 emails
[2025-09-03 13:35:24] Started worker 57 for 477 emails
[2025-09-03 13:35:24] Started worker 58 for 477 emails
[2025-09-03 13:35:24] Started worker 59 for 477 emails
[2025-09-03 13:35:24] Started worker 60 for 477 emails
[2025-09-03 13:35:24] Started worker 61 for 477 emails
[2025-09-03 13:35:24] Started worker 62 for 477 emails
[2025-09-03 13:35:24] Started worker 63 for 477 emails
[2025-09-03 13:35:24] Started worker 64 for 477 emails
[2025-09-03 13:35:24] Started worker 65 for 477 emails
[2025-09-03 13:35:24] Started worker 66 for 477 emails
[2025-09-03 13:35:24] Started worker 67 for 477 emails
[2025-09-03 13:35:24] Started worker 68 for 477 emails
[2025-09-03 13:35:24] Started worker 69 for 477 emails
[2025-09-03 13:35:24] Started worker 70 for 477 emails
[2025-09-03 13:35:24] Started worker 71 for 477 emails
[2025-09-03 13:35:24] Started worker 72 for 477 emails
[2025-09-03 13:35:24] Started worker 73 for 477 emails
[2025-09-03 13:35:24] Started worker 74 for 477 emails
[2025-09-03 13:35:24] Started worker 75 for 477 emails
[2025-09-03 13:35:24] Started worker 76 for 477 emails
[2025-09-03 13:35:24] Started worker 77 for 477 emails
[2025-09-03 13:35:24] Started worker 78 for 477 emails
[2025-09-03 13:35:24] Started worker 79 for 477 emails
[2025-09-03 13:35:24] Started worker 80 for 477 emails
[2025-09-03 13:35:24] Started worker 81 for 477 emails
[2025-09-03 13:35:24] Started worker 82 for 477 emails
[2025-09-03 13:35:24] Started worker 83 for 477 emails
